target_id	crown_1	opistosoma_1	trophosome_1	crown_2	opistosoma_2	trophosome_2
OALVG00000000314.1	0.131306	0.0168444	0.167618	0.128243	0.117074	0.0679943
OALVG00000000315.1	0.889143	2.00936	57.1023	0	0.674778	0
OALVG00000000316.1	0.768695	0	8.79537	0	0.478107	0.11347
OALVG00000000317.1	1.17516	0.361338	13.6831	3.7787	0.535331	2.1284
OALVG00000000317.2	0.196187	0	0.714887	0	0	0.10313
OALVG00000000318.1	6.22403	3.07516	2.49494	7.60492	8.10007	2.80065
OALVG00000000319.1	7.73986	0.519843	0	0	3.43949	0
OALVG00000000320.1	2.56443	11.5701	0.289437	9.15249	25.7323	8.22505
OALVG00000000321.1	0.986897	0.965305	0.356522	2.91783	1.20353	1.84444
OALVG00000000321.2	2.43822	0.78431	1.78261	3.81563	2.20647	0.922222
OALVG00000000322.1	6.8985	4.76694	22.6981	14.9341	7.25563	10.1228
OALVG00000000323.1	12.1471	20.9086	25.5346	81.0357	28.1856	50.5639
OALVG00000000324.1	0.0471906	41.002	0	0	30.58	0.185145
OALVG00000000325.1	0	0.14872	0	0	0	0
OALVG00000000326.1	0	4.75584	0	0	0.593147	0
OALVG00000000327.1	0.0194136	0.0103543	23.649	0	0	0.037957
OALVG00000000328.1	0	0	0.187138	0	0	0
OALVG00000000329.1	0	0	0.307286	0	0	0.110459
OALVG00000000330.1	5.21969	7.74162	1.78161	11.2122	18.7907	72.314
OALVG00000000331.1	0.0910306	0	0.172524	0	0.0412549	0.0527401
OALVG00000000332.1	19.1993	63.4561	1.7732	54.3721	79.6092	147.543
OALVG00000000332.2	13.639	13.1471	8.86666	25.4544	27.2191	8.60089
OALVG00000000333.1	0.221314	0.423196	0.0762336	0.244011	0.609327	0.697804
OALVG00000000334.1	1.96479	2.58521	0.150513	5.4676	17.0501	24.0598
OALVG00000000335.1	8.47258	6.09284	1.43755	13.6142	42.5917	59.4224
OALVG00000000336.1	0.113639	0.111908	0.298092	0.0240162	0.0831518	0.148088
OALVG00000000337.1	12.653	4.38264	1.82381	16.6256	8.8251	4.23973
